# Generated from Radheef (radheef.siyamex.com) by scripts/build_thesaurus.py — do not edit by hand.
# format: word <TAB> synonym:corpus_count|synonym:count...
ހަންޑިފޯލި	މޭއްޔަފޯލި:0
ހަންޑިދޮންކެޔޮ	ހަންޑިކެޔޮ:0
ހަންޑިލުނބޯ	މޭއްޔަލުނބޯ:5
ހަންޓޯޓޯ	ހައްޑޮއްޑޯ:0
ހަންޓޯޓޯވުން	ހަންކޮސޮޅިޖެހުން:0
ހަންޖާ	ނެދާ:0
ހަރަ	ހަރު:106
ހަރަހެރި	ހަރުދަނާ:93
ހަރަކާތް	އިޝާރާތް:28
ހަރަވަޅި	ހަރުވާޅު:2
ހަރަވާޅު	ހަރުވާޅު:2
ހަރަގަނޑަ	ހަރުގަނޑު:1
ހަރަގަނޑޮ	ހަރުގަނޑު:1
ހަރާނޑާ	ހަރުގަނޑު:1
ހަރާން	ޙަރާމު:0
ހަރާންދަރި	ނަހަލާލުދަރި:0
ހަރާދުކިއުން	ޖުވާކުޅުން:1
ހަރިބޮލާ	ދުޅަހަރު:0
ހަރިވާދަ	ހަށަވާދަ:0
ހަރު	ހަރަ:0|ހަރޮ:0|ހެރެ:0
ހަރުބޭސް	ހިލިބޭސް:1
ހަރުބޮނޑިބަތް	ތަތްބޮނޑިބަތް:0
ހަރުކަށި	ހިތްހަރު:0|ގައްޑާމީ:0
ހަރުކަން	ދަހަނާކަން:0
ހަރުކޮށް	ބާރަށް:41
ހަރުވަޅި	ހަރުވާޅު:2
ހަރުވާޅު	ހަށަވާޅު:0|ހަރަވަޅި:0|ހަރަވާޅު:0|ހަރުވަޅި:0|ހަރެވާޅަ:0|ހަރޮވާޅަ:0
ހަރުފަ	ނާގަ:0
ހަރުފަމުތް	މޮހޮރާ:0
ހަރުފަދުލި	ހަލުވިދާ:0
ހަރުދަނޑިވުން	ދަނޑިއެރުން:1
ހަރުދަނާ	ހަރަހެރި:0
ހަރުތޮޅި	ފަނޑިޔާރުތޮޅި:0
ހަރުލުން	ހިފުން:19
ހަރުގަނޑު	ހަރަގަނޑަ:0|ހަރަގަނޑޮ:0|ހަރާނޑާ:0|ފަރުނީޗަރު:1
ހަރެވާޅަ	ހަރުވާޅު:2
ހަރޮ	ހަރު:106
ހަރޮވާޅަ	ހަރުވާޅު:2
ހަބަރު	ހަތްދުން:0
ހަބަދަ	އަންހެން:283
ހަބުރު	ކުޑަކަޅުވާމަސް:0
ހަޅަ	ސަކަ:2
ހަޅި	ފޭލި:3
ހަޅިބައިނާ	ހަޅިބައިން:0
ހަޅިބައިން	ހަޅިބައިނާ:0
ހަޅިއަފޮނާ	މުރަކަމަސް:4
ހަޅޭއް	ދުވާތުރަ:0
ހަޅޭލެވުން	އަޑުގަދަކުރުން:0
ހަކަ	ތަންކޮޅެއް:82
ހަކަތަދޫވުން	ބާރުދޫވުން:2
ހަކާ	ލޯބި:86
ހަކި	ސައަސްތުރަ:0
ހަކުރު	ހަކެރެ:0
ހަކުރުބޮޑުއައްޕަން	ފޮނިބޯކިބާ:0
ހަކުރުފަނި	ރާފޮނި:0
ހަކެރެ	ހަކުރު:278
ހަކޭ	ހެއި:0
ހައިނގިލިހައް	ރާކަނި:2
ހައިނުކޮށް	މެދުކެނޑުމެއްނެތި:13
ހައިރަ	ކަނޑު:196
ހައިރާން	ބޯކޮސް:0
ހައިރު	ވެލި:37
ހައިބަރަ	ހައިބަރު:0
ހައިބަރު	ހައިބަރަ:0|ބަނދަރު:61
ހައިބަބޮޑު	ބިޔަ:46
ހައިބަކަން	ބިޔަކަން:0
ހައިކުރުން	މަދުކުރުން:5
ހައިވާނު	ޖަނަވާރު:26
ހައިތަ	ހަވިއްތަ:1
ހައިޖާނު	ގުޖަޑު:0
ހައު	ހައުލާ:0|ހައުލް:0|ބާބާ:7
ހައުރިހި	ހާރިހި:0
ހައުރު	ހާރު:3
ހައުޅަލަ	ހާޅަލަ:0
ހައުޅު	ޖާހިލު:1
ހައުއެއްޑުން	ހާގޮވުން:0
ހައުދަހައިވާ	ހާދަހާވާ:0
ހައުދު	ހާދަ:3
ހައުލާ	ހައު:2
ހައުލް	ހައު:2
ހައުލްގޮވުން	ހާގޮވުން:0
ހައެއް	ސަ:1
ހައްކަން	ގިޑިގެ:3
ހައްމަތަ	މަތަ:1
ހައްމަތަކެޑުން	މަތަކުރުން:0
ހައްމަތަވުން	މައިތިރިވުން:0
ހައްތަރަ	ގާހައް:0
ހައްތެލި	ހަވިއްތަ:1
ހައްޑޮއްޑޯ	ހަންޓޯޓޯ:0
ހައްޓި	ފަސްދޮޅަސް:2
ހައްޔަރަކެޑުން	ހައްޔަރުކުރުން:1
ހައްޔަރުކުރުން	ހައްޔަރަކެޑުން:0|ހައްޔަރޮކެޑުން:0|ބަންދުކުރުން:8
ހައްޔަރުވުން	ތާށިވުން:9
ހައްޔަރޮކެޑުން	ހައްޔަރުކުރުން:1
ހައްޕިލަނޑައި	ހައްޕިލަނޑާ:0|ހުއިފިލަނޑާ:6
ހައްޕިލަނޑާ	ހައްޕިލަނޑައި:0
ހައްޕުނޑި	ހުއިފިލަނޑާ:6
ހައްޖާމު	ހަޖާމު:0
ހަވަރަށްދެއްވުން	ދެއްވުން:39
ހަވަރުއޮޑި	ބޮޑުފަތަފޮޅިއޮޑި:0
ހަވަލި	އަލި:59
ހަވާދަ	ހަވާދު:15
ހަވާދު	ހަވާދަ:0
ހަވާދުތަޅަންވަން	ހަވާދުތަޅާވަން:0
ހަވާދުތަޅާވަން	ހަވާދުތަޅަންވަން:0|ދަގަނޑުވަން:0
ހަވާސާ	ހާމަ:16
ހަވި	ހަވީރު:64
ހަވިއްތަ	ހައިތަ:0|ހައްތެލި:0|ތަރަބީދަ:0
ހަވީރަ	ހަވީރު:64
ހަވީރި	ހަވީރު:64
ހަވީރީ	ހަވީރުގެ:10
ހަވީރު	ހަވި:0|ހަވީރަ:0|ހަވީރި:0
ހަވީރުގެ	ހަވީރީ:1
ހަވެލެގޮވުން	ހާގޮވުން:0
ހަމަހަމަ	އެއްހަމަ:3
ހަމަހަމަކުރުން	އެއްވަރުކުރުން:0
ހަމަހަމަވުން	އެއްވަރުވުން:0
ހަމަހިމޭން	މާމަހި:0
ހަމަހިމޭންވުން	މާމަހިވުން:0|ލާހިކުވުން:0
ހަމަހިލޭ	ހަމިހިލެއި:0
ހަމަހިލޭދިނުން	ހިތުލޯތްބަށްދިނުން:0
ހަމަނުވުން	އުނިވުން:0
ހަމަނުޖެހުން	ގަޑުބަޑު:20
ހަމަނުޖެހުމެއް	މައްސަލަ:235
ހަމަކުރުން	އެއްވަރުކުރުން:0
ހަމަވުން	އެއްވަރުވުން:0
ހަމަފަޅު	ހަމަފޮޅު:0
ހަމަފޮޅު	ހަމަފަޅު:0
ހަމިހިލެއި	ހަމަހިލޭ:0
ހަމޭނި	ތުނބުޅި:11
ހަމްދަރުދީވުން	ސަހަރޯވެރިވުން:0
ހަފީސް	އޮފީސް:116
ހަފު	ނަންނުގަތި:0
ހަފުސަރު	އޮފިސަރު:6
